movie_id,primary_title,original_title,start_year,runtime_minutes,genre1,genre2,genre3
tt3850214,Dope,Dope,2015,103.0,Comedy,Crime,Drama
tt3850544,Hillsong: Let Hope Rise,Hillsong: Let Hope Rise,2016,103.0,Documentary,Family,Music
tt3850590,Krampus,Krampus,2015,98.0,Comedy,Fantasy,Horror
tt3858748,The Traitor,Okupatsiya,2017,90.0,Biography,Crime,Drama
tt7736478,The Traitor,Il traditore,2019,135.0,Biography,Crime,Drama
tt3861390,Dumbo,Dumbo,2019,112.0,Adventure,Family,Fantasy
tt3862750,The Perfect Guy,The Perfect Guy,2015,100.0,Crime,Drama,Horror
tt3863552,Bajrangi Bhaijaan,Bajrangi Bhaijaan,2015,163.0,Action,Comedy,Drama
tt3864056,The Goldfinch,The Goldfinch,2019,,Drama,,
tt3874544,The Boss Baby,The Boss Baby,2017,97.0,Adventure,Animation,Comedy
tt3881784,Stronger,Stronger,2017,119.0,Action,Sport,
tt5738152,Stronger,Stronger,2017,125.0,Action,Sport,
tt7130472,Stronger,Stronger,2016,47.0,Action,Sport,
tt3882074,The Eagle Huntress,The Eagle Huntress,2016,87.0,Adventure,Documentary,Sport
tt3890160,Baby Driver,Baby Driver,2017,113.0,Action,Crime,Drama
tt3892172,Leave No Trace,Leave No Trace,2018,109.0,Drama,,
tt3896198,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017,136.0,Action,Adventure,Comedy
tt3904952,Spell,Nam Man Prai,2014,80.0,Comedy,Drama,Thriller
tt6398496,Spell,Spell,2018,87.0,Comedy,Drama,Thriller
tt3908598,Lamb,Lamb,2015,97.0,Drama,Family,
tt4130944,Lamb,Lamb,2015,94.0,Drama,Family,
tt3920820,Brian Banks,Brian Banks,2018,99.0,Drama,,
tt3922818,The Space Between Us,The Space Between Us,2017,120.0,Adventure,Drama,Romance
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112.0,Action,Adventure,Comedy
tt3958034,Don't Breathe,Don't Breathe,2014,86.0,Documentary,,
tt4160708,Don't Breathe,Don't Breathe,2016,88.0,Documentary,,
tt3960412,Popstar: Never Stop Never Stopping,Popstar: Never Stop Never Stopping,2016,87.0,Comedy,Music,
tt4003774,Meet the Mormons,Meet the Mormons,2014,78.0,Documentary,,
tt4030600,The Bye Bye Man,The Bye Bye Man,2017,96.0,Drama,Fantasy,Horror
tt4034228,Manchester by the Sea,Manchester by the Sea,2016,137.0,Drama,,
tt4034354,Swiss Army Man,Swiss Army Man,2016,97.0,Adventure,Comedy,Drama
tt4044364,Citizenfour,Citizenfour,2014,114.0,Biography,Documentary,Thriller
tt4046784,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,2015,131.0,Action,Sci-Fi,Thriller
tt4052882,The Shallows,The Shallows,2016,86.0,Drama,Horror,Thriller
tt4056738,Do You Believe?,Do You Believe?,2015,120.0,Fantasy,Horror,
tt6960218,Do You Believe?,Do You Believe?,2017,71.0,Fantasy,Horror,
tt4062536,Green Room,Green Room,2015,95.0,Horror,Music,Thriller
tt4073790,The Darkest Minds,The Darkest Minds,2018,104.0,Action,Adventure,Drama
tt4080728,A Man Called Ove,En man som heter Ove,2015,116.0,Comedy,Drama,Romance
tt4094724,The Purge: Election Year,The Purge: Election Year,2016,108.0,Action,Horror,Sci-Fi
tt4103724,Forever My Girl,Forever My Girl,2018,108.0,Drama,Music,Romance
tt4105466,War,Chrieg,2014,106.0,Drama,,
tt4110568,Dil Dhadakne Do,Dil Dhadakne Do,2015,170.0,Comedy,Drama,Romance
tt4116284,The Lego Batman Movie,The Lego Batman Movie,2017,104.0,Action,Animation,Comedy
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,134.0,Adventure,Family,Fantasy
tt4131800,My Little Pony: The Movie,My Little Pony: The Movie,2017,99.0,Adventure,Animation,Comedy
tt4136084,Florence Foster Jenkins,Florence Foster Jenkins,2016,111.0,Biography,Comedy,Drama
tt4139124,Keanu,Keanu,2016,100.0,Action,Comedy,Crime
tt4154664,Captain Marvel,Captain Marvel,2019,123.0,Action,Adventure,Sci-Fi
tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,Action,Adventure,Sci-Fi
tt4154796,Avengers: Endgame,Avengers: Endgame,2019,181.0,Action,Adventure,Sci-Fi
tt4154916,Replicas,Replicas,2018,107.0,Drama,Sci-Fi,Thriller
tt4158096,Free Fire,Free Fire,2016,91.0,Action,Comedy,Crime
tt4164244,Judy,Judy,2014,80.0,Horror,Thriller,
tt7549996,Judy,Judy,2019,118.0,Horror,Thriller,
tt4172430,13 Hours,13 Hours,2016,144.0,Action,Drama,History
tt4183692,Woodlawn,Woodlawn,2015,123.0,Drama,Sport,
tt4190530,Anthropoid,Anthropoid,2016,120.0,Biography,History,Thriller
tt4191054,Strange Magic,Strange Magic,2015,99.0,Adventure,Animation,Comedy
tt4319336,Strange Magic,Strange Magic,2014,,Adventure,Animation,Comedy
tt4191580,Meet the Blacks,Meet the Blacks,2016,94.0,Comedy,Horror,
tt4193072,How to Build a Girl,How to Build a Girl,2019,,Comedy,,
tt4193394,Indignation,Indignation,2016,110.0,Drama,Romance,
tt4196450,The Birth of a Nation,The Birth of a Nation,2016,120.0,Biography,Drama,History
tt4196776,Jason Bourne,Jason Bourne,2016,123.0,Action,Thriller,
tt4205320,The Assistant,La volante,2015,87.0,Drama,Thriller,
tt9000224,The Assistant,The Assistant,2020,,Drama,Thriller,
tt4209788,Molly's Game,Molly's Game,2017,140.0,Biography,Crime,Drama
tt4243168,Hostiles,Hostiles,2015,74.0,Adventure,Drama,Western
tt5478478,Hostiles,Hostiles,2017,134.0,Adventure,Drama,Western
tt4257926,Miracles from Heaven,Miracles from Heaven,2016,109.0,Biography,Drama,Family
tt4258698,Southside with You,Southside with You,2016,84.0,Biography,Drama,History
tt4263482,The Witch,The VVitch: A New-England Folktale,2015,92.0,Horror,Mystery,
tt8802728,The Witch,The Witch,2018,,Horror,Mystery,
tt4270516,Grandma,Grandma,2015,79.0,Documentary,,
tt5725566,Grandma,Grandma,2016,10.0,Documentary,,
tt4296800,Ladrones,Ladrones,2015,97.0,Comedy,,
tt4302938,Kubo and the Two Strings,Kubo and the Two Strings,2016,101.0,Action,Adventure,Animation
tt4337690,90 Minutes in Heaven,90 Minutes in Heaven,2015,121.0,Drama,,
tt4341582,Queen of Katwe,Queen of Katwe,2016,124.0,Biography,Drama,Sport
tt4353250,The Last Black Man in San Francisco,The Last Black Man in San Francisco,2019,120.0,Drama,,
tt4353270,Echo Boomers,Echo Boomers,2019,,Action,Crime,Drama
