id,release_date,primary_title,production_budget,domestic_gross,worldwide_gross,movie_id,original_title,runtime_minutes,genre1,genre2,genre3
34,2015,The Transporter Refueled,22000000,16029670,69698495,tt2938956,The Transporter Refueled,96.0,Action,Adventure,Crime
45,2012,The Raven,26000000,16008272,30601801,tt1486192,The Raven,110.0,Crime,Mystery,Thriller
4,2018,Mortal Engines,100000000,15951040,85287417,tt1571234,Mortal Engines,128.0,Action,Adventure,Fantasy
17,2016,The Birth of a Nation,10000000,15861566,16891011,tt4196450,The Birth of a Nation,120.0,Biography,Drama,History
14,2014,Devils Due,7000000,15821461,36146087,tt2752758,Devil's Due,89.0,Horror,Mystery,Thriller
86,2016,Eddie the Eagle,23000000,15789389,45060480,tt1083452,Eddie the Eagle,106.0,Biography,Comedy,Drama
79,2012,The Man with the Iron Fists,15000000,15634090,22018988,tt1258972,The Man with the Iron Fists,95.0,Action,,
63,1986,Legend,25000000,15502112,23506237,tt2577542,Legend,134.0,Biography,Crime,Drama
32,2016,The Infiltrator,47500000,15436808,20718104,tt1355631,The Infiltrator,127.0,Biography,Crime,Drama
95,2013,About Time,12000000,15323921,89309178,tt2194499,About Time,123.0,Comedy,Drama,Fantasy
90,2013,The Last Exorcism Part II,4000000,15179303,25448707,tt2034139,The Last Exorcism Part II,88.0,Drama,Horror,Thriller
14,2014,And So It Goes,18000000,15160801,17920013,tt2465146,And So It Goes,94.0,Comedy,Drama,Romance
80,1984,Firestarter,15000000,15136870,15136870,tt5827954,Firestarter,94.0,Documentary,,
36,2012,Seven Psychopaths,13500000,15024049,33035736,tt1931533,Seven Psychopaths,110.0,Comedy,Crime,
81,2019,Miss Bala,15000000,14998027,15362298,tt5941692,Miss Bala,104.0,Action,Crime,Drama
82,2012,Killing Them Softly,15000000,14945541,39238443,tt1764234,Killing Them Softly,97.0,Crime,Thriller,
96,2018,If Beale Street Could Talk,12000000,14915773,19859167,tt7125860,If Beale Street Could Talk,119.0,Drama,Romance,
36,2019,The Prodigy,6000000,14856291,19789712,tt4504044,The Prodigy,92.0,Horror,Thriller,
37,2018,The Possession of Hannah Grace,6000000,14836174,42785387,tt5734576,The Possession of Hannah Grace,86.0,Horror,Mystery,Thriller
21,2016,Criminal,31500000,14708696,38771262,tt3014866,Criminal,113.0,Action,Crime,Drama
80,2015,Room,13000000,14677674,36262783,tt3170832,Room,118.0,Drama,Thriller,
94,2015,It Follows,2000000,14674077,23250755,tt3235888,It Follows,100.0,Horror,Mystery,
16,2014,Beyond the Lights,7000000,14618727,14618727,tt3125324,Beyond the Lights,116.0,Drama,Music,Romance
23,2014,Big Eyes,10000000,14482031,27317872,tt1126590,Big Eyes,106.0,Documentary,,
72,2015,American Ultra,28000000,14439985,30295028,tt3316948,American Ultra,96.0,Action,Comedy,Sci-Fi
86,2016,The Edge of Seventeen,9000000,14431633,19096003,tt1878870,The Edge of Seventeen,104.0,Comedy,Drama,
81,2015,Woodlawn,13000000,14394097,14403703,tt4183692,Woodlawn,123.0,Drama,Sport,
22,2012,Lockout,20000000,14326865,33943049,tt1592525,Lockout,95.0,Action,Sci-Fi,Thriller
97,2017,Wish Upon,12000000,14301505,23477345,tt5322012,Wish Upon,90.0,Drama,Fantasy,Horror
41,2000,Supernova,60000000,14218868,14816494,tt10378772,Supernova,,Drama,Mystery,Sci-Fi
3,2013,Spring Breakers,5000000,14124286,31149251,tt2101441,Spring Breakers,94.0,Comedy,Crime,Drama
57,2014,Left Behind,16000000,14019924,20769209,tt2467046,Left Behind,110.0,Documentary,Drama,
4,2017,It Comes at Night,5000000,13985117,19720203,tt4695012,It Comes at Night,91.0,Horror,Mystery,
87,2016,Jackie,9000000,13960394,36588512,tt2108546,Jackie,100.0,Comedy,Drama,Romance
16,2014,Sin City A Dame to Kill For,65000000,13757804,40650842,tt0458481,Sin City: A Dame to Kill For,102.0,Crime,Thriller,
27,2015,Burnt,20000000,13651946,36773510,tt4607118,Burnt,,Comedy,Drama,
95,2018,Eighth Grade,2000000,13539710,14341016,tt7014006,Eighth Grade,93.0,Comedy,Drama,
15,2012,Dredd,45000000,13414714,41467606,tt1343727,Dredd,95.0,Action,Crime,Sci-Fi
19,2014,Labor Day,18000000,13371528,14189810,tt1967545,Labor Day,111.0,Drama,Romance,
94,2013,Inside Llewyn Davis,11000000,13248209,32943247,tt2042568,Inside Llewyn Davis,104.0,Drama,Music,
43,2014,Whiplash,3300000,13092006,38969037,tt2582802,Whiplash,106.0,Drama,Music,
60,2015,Do You Believe,2300000,12985600,14304931,tt6960218,Do You Believe?,71.0,Fantasy,Horror,
18,2012,Beasts of the Southern Wild,1800000,12795746,23265132,tt2125435,Beasts of the Southern Wild,93.0,Adventure,Drama,Fantasy
90,2017,The Founder,15000000,12786053,24403192,tt2262282,Der Gründer,108.0,Biography,Drama,History
97,2012,Silent House,2000000,12739737,16610760,tt1767382,Silent House,86.0,Drama,Horror,Mystery
60,2015,Carol,11800000,12711491,42843521,tt2402927,Carol,118.0,Drama,Romance,
64,2018,The Darkest Minds,34000000,12695691,38361428,tt4073790,The Darkest Minds,104.0,Action,Adventure,Drama
33,2016,Triple 9,20000000,12639297,25943792,tt1712261,Triple 9,115.0,Crime,Thriller,
76,2017,Battle of the Sexes,25000000,12638526,18445379,tt4622512,Battle of the Sexes,121.0,Biography,Comedy,Drama
34,2016,The Light Between Oceans,20000000,12545979,22281732,tt2547584,The Light Between Oceans,133.0,Drama,Romance,
77,2012,Cirque du Soleil Worlds Away,25000000,12512862,28012862,tt1792647,Cirque du Soleil: Worlds Away,91.0,Fantasy,,
60,2012,People Like Us,16000000,12431792,12617472,tt1716777,People Like Us,114.0,Drama,,
56,2016,Dangal,9500000,12391761,294654618,tt5911540,Dangal,,Action,Biography,Drama
