primary_title,genre1,genre2,genre3
The Woman in Black 2: Angel of Death,Drama,Horror,Thriller
Replicas,Drama,Sci-Fi,Thriller
Fifty Shades of Black,Comedy,,
Uri: The Surgical Strike,Action,Drama,War
Gloria,Biography,Drama,Music
The Patriarch,Action,Crime,Thriller
Blackhat,Action,Crime,Thriller
Mortdecai,Action,Comedy,Crime
Ip Man 3,Action,Biography,Drama
Tim's Vermeer,Documentary,History,
Les Misérables,Drama,,
Project Almanac,Drama,Mystery,Sci-Fi
Black or White,Drama,,
Still Alice,Drama,,
Insidious: The Last Key,Horror,Mystery,Thriller
Race 2,Action,Crime,Thriller
Den of Thieves,Action,Crime,Drama
BTS World Tour: Love Yourself in Seoul,Documentary,Music,
Extreme Job,Action,Comedy,
Sundown,Comedy,Drama,
Clean,Comedy,Drama,Horror
Strange Magic,Adventure,Animation,Comedy
The Boy Next Door,Horror,Thriller,
The Loft,Mystery,Romance,Thriller
The Gentlemen,Action,Crime,
I,Action,Drama,Thriller
The Turning,Drama,,
The Grudge,,,
Agneepath,Action,Drama,
Kung Fu Panda 3,Action,Adventure,Animation
The Devil Inside,Horror,,
Ride Along 2,Action,Comedy,Crime
Norm of the North,Adventure,Animation,Comedy
Red Tails,Action,Adventure,Drama
Supernova,Drama,Mystery,Sci-Fi
Raees,Action,Crime,Drama
The Wedding Ringer,Comedy,,
Jack Ryan: Shadow Recruit,Action,Drama,Thriller
The Grey,Action,Adventure,Drama
Underwater,Action,Drama,Thriller
The Kid Who Would Be King,Action,Adventure,Family
Cake,Drama,Mystery,Romance
Proud Mary,Action,Crime,Drama
The Resurrection of Gavin Stone,Comedy,Drama,Family
Spare Parts,Drama,,
The Salesman,Drama,Thriller,
Forever My Girl,Drama,Music,Romance
Contraband,Action,Crime,Drama
Serenity,Drama,Mystery,Sci-Fi
Padmaavat,Drama,History,Romance
The Nut Job,Adventure,Animation,Comedy
Miss Bala,Action,Crime,Drama
Total Dhamaal,Action,Adventure,Comedy
Run the Race,Drama,Sport,
Safe Haven,Drama,Romance,Thriller
Fifty Shades Darker,Drama,Romance,
John Wick: Chapter 2,Action,Crime,Thriller
Everybody Knows,Crime,Drama,Mystery
Warm Bodies,Comedy,Horror,Romance
Gully Boy,Drama,Music,
The Mermaid,Comedy,Drama,Fantasy
Escape from Planet Earth,Adventure,Animation,Comedy
A Good Day to Die Hard,Action,Thriller,
Get Out,Horror,Mystery,Thriller
Identity Thief,Adventure,Comedy,Crime
The Oscar Nominated Short Films 2019: Documentary,Documentary,,
The Lego Batman Movie,Action,Animation,Comedy
The Prodigy,Horror,Thriller,
The Wandering Earth,Action,Drama,Sci-Fi
Triple 9,Crime,Thriller,
The Great Wall,Action,Adventure,Fantasy
Every Day,Comedy,Drama,Romance
RoboCop,Action,Crime,Sci-Fi
Kedi,Action,,
Son of God,Biography,Drama,History
Early Man,Adventure,Animation,Comedy
Is Genesis History?,Documentary,,
The Monuments Men,Comedy,Drama,History
Collide,Action,,
Stand Up Guys,Comedy,Crime,Thriller
Winchester,Biography,Drama,Fantasy
Everybody Loves Somebody,Comedy,Romance,
Non-Stop,Action,Mystery,Thriller
The Gatekeepers,Documentary,History,War
Annihilation,Adventure,Drama,Horror
No,Drama,,
The 15:17 to Paris,Biography,Drama,Thriller
Black Panther,Action,Adventure,Sci-Fi
The Oscar Nominated Short Films 2013: Live Action,Drama,,
Peter Rabbit,Adventure,Animation,Comedy
Fifty Shades Freed,Drama,Romance,Thriller
Game Night,Comedy,,
"Bless Me, Ultima",Biography,Drama,History
The Lego Movie,Action,Adventure,Animation
Leap!,Adventure,Animation,Comedy
Samson,Action,Drama,
Vampire Academy,Action,Comedy,Drama
Fist Fight,Comedy,,
Fighting with My Family,Biography,Comedy,Drama
Happy Death Day 2U,Drama,Horror,Mystery
Snitch,Action,Drama,Thriller
Cold Pursuit,Action,Crime,Drama
Rings,Drama,Horror,Mystery
Winter's Tale,Drama,Fantasy,Mystery
Side Effects,Crime,Drama,Mystery
Isn't It Romantic,Comedy,Fantasy,Romance
What Men Want,Comedy,Fantasy,Romance
Alita: Battle Angel,Action,Adventure,Sci-Fi
The Lego Movie 2: The Second Part,Action,Adventure,Animation
The Wind Rises,Animation,Biography,Drama
Pompeii,Action,Adventure,Drama
3 Days to Kill,Action,Drama,Thriller
Beautiful Creatures,Drama,Fantasy,Romance
Where to Invade Next,Comedy,Documentary,
Rock Dog,Adventure,Animation,Comedy
A Cure for Wellness,Drama,Fantasy,Horror
The Space Between Us,Adventure,Drama,Romance
Dark Skies,Horror,Sci-Fi,Thriller
Bullet to the Head,Action,Crime,Thriller
I Am Not Your Negro,Documentary,,
About Last Night,Comedy,Romance,
The Oscar Nominated Short Films 2018: Live Action,Action,,
A United Kingdom,Biography,Drama,Romance
Endless Love,Drama,Romance,
How to Train Your Dragon: The Hidden World,Action,Adventure,Animation
Sonic the Hedgehog,Action,Adventure,Family
The Choice,Drama,,
The Woman in Black,Drama,Fantasy,Horror
This Means War,Action,Comedy,Romance
Corpus Christi,Drama,,
Deadpool,Action,Adventure,Comedy
Burden,Drama,,
Gone,Drama,,
Uncharted,Action,Adventure,
What We Do in the Shadows,Comedy,Horror,
Wild Tales,Comedy,Drama,Thriller
Chronicle,Drama,Sci-Fi,Thriller
Wendy,Drama,Fantasy,
Come to Daddy,Comedy,Horror,Thriller
Old Fashioned,Drama,Romance,
Focus,Comedy,,
First Lady,Drama,,
Ghost Rider: Spirit of Vengeance,Action,Fantasy,Thriller
Big Miracle,Biography,Drama,Family
Crisis,Drama,,
"Hail, Caesar!",Comedy,Drama,Music
Gods of Egypt,Action,Adventure,Fantasy
Good Deeds,Comedy,Drama,Romance
Risen,Action,Adventure,Drama
The Secret World of Arrietty,Adventure,Animation,Family
Land,Documentary,,
The Father,,,
How to Be Single,Comedy,Drama,Romance
"McFarland, USA",Biography,Drama,Sport
Wanderlust,Fantasy,,
Fifty Shades of Grey,Drama,Romance,Thriller
The SpongeBob Movie: Sponge Out of Water,Adventure,Animation,Comedy
Blithe Spirit,Comedy,,
Race,Biography,Drama,Sport
Zoolander 2,Comedy,,
Kingsman: The Secret Service,Action,Adventure,Comedy
The Witch,Horror,Mystery,
Act of Valor,Action,Adventure,Drama
Jupiter Ascending,Action,Adventure,Sci-Fi
Ride Your Wave,Animation,Comedy,Romance
The Vow,Drama,Romance,
Safe House,Horror,,
Downhill,Action,Horror,Sport
And Then We Danced,Drama,Romance,
Eddie the Eagle,Biography,Comedy,Drama
The Cursed,Horror,Thriller,
The Photograph,Drama,Romance,
Fantasy Island,Adventure,Comedy,Fantasy
The Invisible Man,Sci-Fi,,
Pride and Prejudice and Zombies,Action,Comedy,Horror
Butter,Comedy,Drama,
Seventh Son,Action,Adventure,Fantasy
The Lazarus Effect,Horror,Mystery,Sci-Fi
